nome,preco,sku,stock,tema,subtema,peso
Imperial Senate Security ,1.75,IS02,5,Star Wars,semsubtema,10
Darth Revan Legends,1.75,NO02,5,Star Wars,semsubtema,10
Aurra Sing ,1.75,AS09,5,Star Wars,semsubtema,10
Dryden Vos,1.75,DV10,5,Star Wars,semsubtema,10
Darth Nihilus v2,1.75,DN02,5,Star Wars,semsubtema,10
Spider-man Symbiote Suit ,1.75,SM13,5,Marvel,semsubtema,10
Cyclops,1.75,CY03,5,Marvel,X-Men,10
Morph v2,1.75,MV14,5,Marvel,X-Men,10
Nightcrawler,1.75,NI01,5,Marvel,X-Men,10
Bastion,1.75,BA05,5,Marvel,X-Men,10
Mr. Whatsit ,1.75,MW06,5,Stranger Things,semsubtema,10
Rebel Trooper,1.75,RT03,5,Star Wars,semsubtema,10
Taun We,1.75,TW01,5,Star Wars,semsubtema,10
Lieutenant Lesaro ,1.75,LL03,5,Piratas das Caraíbas,semsubtema,10
Officer Santos ,1.75,OS02,5,Piratas das Caraíbas,semsubtema,10
Officer Magda,1.75,OM03,5,Piratas das Caraíbas,semsubtema,10
Yeoman Zombie ,1.75,YZ01,5,Piratas das Caraíbas,semsubtema,10
Cook,1.75,CO04,5,Piratas das Caraíbas,semsubtema,10
Speedy González  ,2.25,SG15,5,Looney Tunes,semsubtema,10
Cowboy v7,1.95,CV13,5,Faroeste,semsubtema,10
Cowboy v10,2.25,CV07,5,Faroeste,semsubtema,10
Superman BD v2,1.95,SB09,5,DC Comics,semsubtema,10
Esqueleto Mexicano,1.75,EM08,5,Filmes e Séries,semsubtema,10
Rei v3,1.75,RV03,5,Medieval,semsubtema,10
Batman Wizbat,1.75,HM01,5,DC Comics,semsubtema,10
Hyperion ,1.75,HY01,5,Marvel,semsubtema,10
Deadshot BD,1.75,DB03,5,DC Comics,semsubtema,10
Riddler TV,1.75,RT06,5,DC Comics,semsubtema,10
Man-At-Arms Duncan,1.75,MA07,5,Masters of the Universe,semsubtema,10
Trap Jaw ,1.75,TJ01,5,Masters of the Universe,semsubtema,10
Mad-Eye Moody ,1.75,ME02,5,Harry Potter,semsubtema,10
Draco Malfoy,1.75,DM12,5,Harry Potter,semsubtema,10
Kabuki Twin,1.75,KT01,5,DC Comics,semsubtema,10
Party Clown ,1.75,PC02,5,Diversos,semsubtema,10
Zodiac Master ,1.75,ZM02,5,DC Comics,semsubtema,10
Professor McGonagall ,1.75,PM04,5,Harry Potter,semsubtema,10
Pateta v1,1.75,PV05,5,Disney,semsubtema,10
Professor Trelawny ,1.75,PT04,5,Harry Potter,semsubtema,10
Dean Thomas ,1.75,DT03,5,Harry Potter,semsubtema,10
Neville Longbottom,1.75,NL02,5,Harry Potter,semsubtema,10
Griphook,1.75,GR06,5,Harry Potter,semsubtema,10
James Potter,1.75,JP01,5,Harry Potter,semsubtema,10
Lily Potter,1.75,LP01,5,Harry Potter,semsubtema,10
Duros Alliance Fighter ,1.75,DA06,5,Star Wars,semsubtema,10
Gríma,1.75,GM07,5,O Senhor dos Anéis,semsubtema,10
Frodo Baggins v3,1.75,FB05,5,O Senhor dos Anéis,semsubtema,10
Merry v1,1.75,MV09,5,O Senhor dos Anéis,semsubtema,10
Gandalf o Cinzento v1,1.75,GO03,5,O Senhor dos Anéis,semsubtema,10
Bofur the Dwarf,1.75,BT07,5,O Senhor dos Anéis,semsubtema,10
Saruman v1,1.75,SV05,5,O Senhor dos Anéis,semsubtema,10
Oin the Dwarf ,1.75,OT01,5,O Senhor dos Anéis,semsubtema,10
Dori the Dwarf,1.75,DT05,5,O Senhor dos Anéis,semsubtema,10
Darth Maul Cyborg ,1.75,DM06,5,Star Wars,semsubtema,10
Baze Malbus ,1.95,BM01,5,Star Wars,semsubtema,10
Admiral Wullf Yularen,1.75,AW03,5,Star Wars,semsubtema,10
Asajj Ventress Legends,1.75,AV08,5,Star Wars,semsubtema,10
Jedi Consular,1.75,JC01,5,Star Wars,semsubtema,10
Barriss Offee ,1.75,BO01,5,Star Wars,semsubtema,10
Pao,1.75,PA05,5,Star Wars,semsubtema,10
Dengar,1.75,DE03,5,Star Wars,semsubtema,10
Naboo Guard ,1.75,NG01,5,Star Wars,semsubtema,10
Luke Skywalker Dagobah,1.75,LS06,5,Star Wars,semsubtema,10
Caluan Ematt ,1.75,CE01,5,Star Wars,semsubtema,10
Quay Tolsite ,1.75,QT01,5,Star Wars,semsubtema,10
Kessel Operations Droid,1.75,KO01,5,Star Wars,semsubtema,10
Elite Shadow Praetorian Guard,1.75,ES04,5,Star Wars,semsubtema,10
Thor v1,1.75,TV01,5,Marvel,Avengers,10
Winter Soldier v3,1.75,MS13,5,Marvel,semsubtema,10
Indiana Jones 2023,1.75,IJ02,5,Filmes e Séries,semsubtema,10
Boca de Sauron,1.75,BD07,5,O Senhor dos Anéis,semsubtema,10
Orc v2,1.75,OV02,5,O Senhor dos Anéis,semsubtema,10
Legolas,1.75,LE02,5,O Senhor dos Anéis,semsubtema,10
Gothmog,1.75,GO07,5,O Senhor dos Anéis,semsubtema,10
Bolg,1.75,BO03,5,O Senhor dos Anéis,semsubtema,10
Gimli,1.75,GI02,5,O Senhor dos Anéis,semsubtema,10
Halbrand,1.75,HA03,5,O Senhor dos Anéis,semsubtema,10
Frodo Baggins v4,1.75,FB06,5,O Senhor dos Anéis,semsubtema,10
Zinedine Zidane ,1.75,ZZ01,5,Futebol,semsubtema,10
Cristiano Ronaldo v3,1.75,CR05,5,Futebol,semsubtema,10
Kylian Mbappé Real Madrid,1.75,KM03,5,Futebol,semsubtema,10
Cal Kestis e BD-1 ,1.75,CK01,5,Star Wars,semsubtema,10
Clone Medic Kix CT-6116 e BD Droid,1.75,CM05,5,Star Wars,semsubtema,10
501 Legion Clone Commander,1.75,BD01,5,Star Wars,semsubtema,10
IG-88 v1,1.25,AD05,5,Star Wars,semsubtema,10
Jan Dodonna e R4-K5 ,1.95,JD01,5,Star Wars,semsubtema,10
Darth Vader v3,1.75,DV04,5,Star Wars,semsubtema,10
Sally,1.75,SA02,5,Disney,semsubtema,10
Pinhead,1.75,PI02,5,Filmes e Séries,semsubtema,10
Pennywise Clown v2,1.75,PC04,5,Filmes e Séries,semsubtema,10
Greef Karga,1.75,GK03,5,Star Wars,semsubtema,10
Shoretrooper,1.75,SH04,5,Star Wars,semsubtema,10
Lion-O,1.95,LO08,5,Thundercats,semsubtema,10
Hush,1.75,RO01,5,DC Comics,semsubtema,10
Iron Fist Immortal ,1.75,IF03,5,Marvel,semsubtema,10
Luna Lovegood,1.75,LL04,5,Harry Potter,semsubtema,10
Percival Graves ,1.75,PG02,5,Harry Potter,semsubtema,10
Credence Barebone ,1.75,CB04,5,Harry Potter,semsubtema,10
Argus Filch,1.75,AF01,5,Harry Potter,semsubtema,10
Seraphina Picquery,1.75,SP02,5,Harry Potter,semsubtema,10
Salazar Slytherin ,1.75,SS01,5,Harry Potter,semsubtema,10
Tio Patinhas,1.75,TP02,5,Disney,semsubtema,10
Teco,1.75,TE02,5,Disney,semsubtema,10
Tico,1.75,TI01,5,Disney,semsubtema,10
John Wick,1.75,JW01,5,Filmes e Séries,semsubtema,10
Billy,1.75,BI01,5,Filmes e Séries,semsubtema,10
Freddy Krueger,1.75,FK01,5,Filmes e Séries,semsubtema,10
Jannah ,1.75,JA01,5,Star Wars,semsubtema,10
Jet Trooper ,1.75,JT04,5,Star Wars,semsubtema,10
Cardo,1.75,CA09,5,Star Wars,Knights of Ren,10
General Zod v1,1.75,GZ01,5,DC Comics,semsubtema,10
Jek-14 ,1.75,JE01,5,Star Wars,semsubtema,10
Aquaman v2,1.75,AV03,5,DC Comics,semsubtema,10
Iron Man Mark 85,1.75,IM05,5,Marvel,Avengers,10
Cyclone,1.75,CY02,5,Marvel,semsubtema,10
Mr. Freeze TV,1.75,MF03,5,DC Comics,semsubtema,10
Odin,1.75,OD01,5,Marvel,semsubtema,10
Invisible Woman v1,1.75,IW02,5,Marvel,F4,10
Kylo Ren v1,1.75,KR07,5,Star Wars,semsubtema,10
Cyborg,1.75,CY01,5,DC Comics,semsubtema,10
Gladiador,1.75,GL01,5,Tempos Antigos,semsubtema,10
Black Bolt,1.75,BB06,5,Marvel,semsubtema,10
Daredevil MCU,1.75,DM01,5,Marvel,semsubtema,10
Harley Quinn New 52,1.75,HQ02,5,DC Comics,semsubtema,10
Éomer ,1.75,OM01,5,O Senhor dos Anéis,semsubtema,10
Faraó do Egipto v1,1.75,FD01,5,Tempos Antigos,semsubtema,10
El Dorado,1.75,ED01,5,DC Comics,semsubtema,10
Okoye ,1.75,OK01,5,Marvel,semsubtema,10
Condiment King,1.75,CK04,5,DC Comics,semsubtema,10
Proxima Midnight,1.75,PM05,5,Marvel,semsubtema,10
Lionel Messi,1.75,LM02,5,Futebol,semsubtema,10
Borsalino Kizaru v1,1.75,BK05,5,One Piece ,semsubtema,10
Roronoa Zoro v1,1.75,RZ01,5,One Piece ,semsubtema,10
Android 17 ,1.75,AN01,5,Dragon Ball,semsubtema,10
Xeno Gotenks ,1.75,XG01,5,Dragon Ball,semsubtema,10
Sabo,1.75,HC04,5,One Piece ,semsubtema,10
Shanks v1,1.75,SV07,5,One Piece ,semsubtema,10
Michael Jordan,1.75,MJ04,5,NBA,semsubtema,10
Dark Trooper v1,1.75,DT01,5,Star Wars,semsubtema,10
Spider-Man Black & Gold Suit,1.75,SM10,5,Marvel,semsubtema,10
Third Sister,1.75,TS02,5,Star Wars,semsubtema,10
Ninth Sister ,1.75,NS02,5,Star Wars,semsubtema,10
Mantis,1.75,MA09,5,Marvel,GG,10
Iron Man Mark 1,2.5,IM03,6,Marvel,Avengers,10
Miles Morales,1.75,MM13,6,Marvel,semsubtema,10
Riot Trooper,1.75,RT07,6,Star Wars,semsubtema,10
Orson Krennic,1.75,OK02,6,Star Wars,semsubtema,10
Imperial Army Trooper v1,1.75,IA01,6,Star Wars,semsubtema,10
Imperial Army Trooper v2,1.75,IA02,6,Star Wars,semsubtema,10
Baylan Skoll,1.75,BS03,6,Star Wars,semsubtema,10
Admiral Thrawn,1.75,AT01,6,Star Wars,semsubtema,10
Doctor Doom v2,2.25,DD05,6,Marvel,semsubtema,10
Walter White Heisenberg v2,1.95,WW02,6,Filmes e Séries,semsubtema,10
Green Lantern God of Light ,1.75,GL04,6,DC Comics,semsubtema,10
Boneco de Neve v1,1.75,BD08,6,Diversos,semsubtema,10
Angelica Teach ,1.75,AT04,6,Piratas das Caraíbas,semsubtema,10
Hector Barbossa ,1.75,HB02,6,Piratas das Caraíbas,semsubtema,10
Mermaid Syrena ,1.75,MS08,6,Piratas das Caraíbas,semsubtema,10
Professor Henry Jones v2,1.75,PH03,6,Filmes e Séries,semsubtema,10
Rainha do Egito,1.75,RD03,6,Tempos Antigos,semsubtema,10
Mosqueteiro,2.5,MO07,6,Tempos Antigos,semsubtema,10
Teela ,1.75,TE04,6,Masters of the Universe,semsubtema,10
Evil-Lyn ,1.75,EL04,6,Masters of the Universe,semsubtema,10
Man-E-Faces ,1.75,ME03,6,Masters of the Universe,semsubtema,10
Professor Snape,1.75,PS04,6,Harry Potter,semsubtema,10
Tina Goldstein ,1.75,TG02,6,Harry Potter,semsubtema,10
Penguin Arkham City ,1.75,PA07,6,DC Comics,semsubtema,10
Vance Astro ,1.75,VA03,6,Marvel,semsubtema,10
Margarida v1,2.25,MV06,6,Disney,semsubtema,10
Zuckuss ,1.75,ZU01,6,Star Wars,semsubtema,10
Kingsley Shacklebolt ,1.75,KS01,6,Harry Potter,semsubtema,10
First Order Crew,1.75,FO01,6,Star Wars,semsubtema,10
Crazy Quilt ,1.75,CQ01,6,DC Comics,semsubtema,10
Superman BD v1,1.75,SB08,6,DC Comics,semsubtema,10
Elsa Bloodstone ,1.75,EB02,6,Marvel,semsubtema,10
Boromir v1,1.75,BV01,6,O Senhor dos Anéis,semsubtema,10
Dwalin the Dwarf ,1.75,DT06,6,O Senhor dos Anéis,semsubtema,10
Balin the Dwarf ,1.75,BT01,6,O Senhor dos Anéis,semsubtema,10
Fili the Dwarf ,1.75,FT01,6,O Senhor dos Anéis,semsubtema,10
Gloin the Dwarf,1.75,GT01,6,O Senhor dos Anéis,semsubtema,10
Ben Kenobi Aged,1.75,BK02,6,Star Wars,semsubtema,10
Leia Organa Clássica,1.75,LO04,6,Star Wars,semsubtema,10
First Order General,1.75,FO03,6,Star Wars,semsubtema,10
Turk Falso,1.75,TF02,6,Star Wars,semsubtema,10
Hera Syndulla,1.75,HS06,6,Star Wars,semsubtema,10
Watto,1.75,WA05,6,Star Wars,semsubtema,10
Teebo Ewok,1.75,TE03,6,Star Wars,semsubtema,10
Yoda Clássico,1.75,YC01,6,Star Wars,semsubtema,10
Ki-Adi-Mundi,1.75,KA06,6,Star Wars,semsubtema,10
Luke Skywalker The Last Jedi,1.95,LS10,6,Star Wars,semsubtema,10
Red Hulk Thaddeus Ross ,1.75,RH04,6,Marvel,semsubtema,10
Professor Henry Jones v1,1.75,PH02,6,Filmes e Séries,semsubtema,10
Sauron,1.75,SA04,6,O Senhor dos Anéis,semsubtema,10
Haldir,1.75,HA04,6,O Senhor dos Anéis,semsubtema,10
Antoine Griezmann ,1.75,AG01,6,Futebol,semsubtema,10
Lamine Yamal Barcelona,1.75,LY01,6,Futebol,semsubtema,10
Raphinha,1.75,RA05,6,Futebol,semsubtema,10
Commander Bacara,1.75,DO01,6,Star Wars,semsubtema,10
IG-100 MagnaGuard,1.75,IM01,6,Star Wars,semsubtema,10
Wullf Yularen Clone Wars e Astromech Droid New Republic,1.95,WU02,6,Star Wars,semsubtema,10
Jack Skellington,1.75,JS01,6,Filmes e Séries,semsubtema,10
Michael Scofield ,1.95,MS09,6,Filmes e Séries,semsubtema,10
Clark Kent ,1.75,CK03,6,DC Comics,semsubtema,10
Banshee ,1.95,BA02,6,Marvel,X-Men,10
Sylvie “Lady Loki” v2,1.75,SL06,6,Marvel,semsubtema,10
Imperial Patrol Trooper ,1.75,IP01,6,Star Wars,semsubtema,10
Professor Filius Flitwick ,1.75,PF01,6,Harry Potter,semsubtema,10
Seamus Finnigan,1.75,SF02,6,Harry Potter,semsubtema,10
Gellert Grindelwald,1.75,GG02,6,Harry Potter,semsubtema,10
Woody e Forky ,1.75,WE03,6,Toy Story,semsubtema,10
Jessie ,1.75,JE03,6,Toy Story,semsubtema,10
Ghostface ,1.75,GH01,6,Filmes e Séries,semsubtema,10
Beetlejuice ,1.75,BE04,6,Filmes e Séries,semsubtema,10
Trudgen,1.75,TR03,6,Star Wars,Knights of Ren,10
Kuruk,1.75,KU01,6,Star Wars,Knights of Ren,10
Tarfful ,1.75,TA04,6,Star Wars,semsubtema,10
Aayla Secura,1.75,AS01,6,Star Wars,semsubtema,10
Poison Ivy 2019,1.95,PI04,6,DC Comics,semsubtema,10
Scorpion,1.95,SC02,6,Marvel,semsubtema,10
Hulk v1,1.75,HV01,6,Marvel,Avengers,10
Laufey,1.75,LA02,6,Marvel,semsubtema,10
3291st Forest Combat Battalion ,1.75,FC01,6,Star Wars,semsubtema,10
Batman DCEU v1,1.75,BD03,6,DC Comics,semsubtema,10
Cavaleiro Templário v4,1.75,CT07,6,Tempos Antigos,semsubtema,10
Golden Knight ,1.75,GK02,6,Tempos Antigos,semsubtema,10
Finn,1.75,FI01,6,Star Wars,semsubtema,10
Iron Skull ,1.75,IS08,6,Marvel,semsubtema,10
Sandman,1.75,SA03,6,Marvel,semsubtema,10
Leia Organa Ewok,1.75,LO05,6,Star Wars,semsubtema,10
Soldado Romano,1.75,SR01,6,Tempos Antigos,semsubtema,10
Flash BD,1.75,FL01,6,DC Comics,semsubtema,10
Mutant Leader ,1.75,ML02,6,DC Comics,semsubtema,10
Cristiano Ronaldo v1,1.75,CR03,6,Futebol,semsubtema,10
Nico Robin v1,1.75,NR01,6,One Piece ,semsubtema,10
Krillin,1.75,KR06,6,Dragon Ball,semsubtema,10
Monkey D. Garp v1,1.75,MD03,6,One Piece ,semsubtema,10
Dwyane Wade,1.75,DW01,6,NBA,semsubtema,10
Uruk-Hai v1,1.75,UH01,6,O Senhor dos Anéis,semsubtema,10
Sith Trooper ,1.75,ST06,6,Star Wars,semsubtema,10
Dáin II Ironfoot,1.75,DI01,6,O Senhor dos Anéis,semsubtema,10
Darth Maul Clone Wars,1.75,VD03,6,Star Wars,semsubtema,10
Second Sister,1.75,SS04,6,Star Wars,semsubtema,10
Supergirl,1.75,SU06,6,DC Comics,semsubtema,10
Snoopy v2,1.75,FD04,6,Bonecos,semsubtema,10
Commander Fox,1.75,PC01,7,Star Wars,semsubtema,10
Wolverine Clássico,1.75,WC02,7,Marvel,X-Men,10
Madelyne Pryor ,1.75,MP01,7,Marvel,X-Men,10
Gamorrean Guard,1.75,GG01,7,Star Wars,semsubtema,10
Ben Kenobi TV Series,1.75,BK03,7,Star Wars,semsubtema,10
SWAT v1,1.75,CC11,7,Militar,semsubtema,10
Máscara de Dalí Papel,1.95,MS06,7,Filmes e Séries,semsubtema,10
Warpath ,1.75,WA03,7,Marvel,X-Men,10
Ram Man ,1.75,RM02,7,Masters of the Universe,semsubtema,10
Professor Quirrell ,1.75,PQ02,7,Harry Potter,semsubtema,10
Rocket Raccoon,1.75,RR02,7,Marvel,GG,10
Boolio ,1.75,BO07,7,Star Wars,semsubtema,10
Bifur the Dwarf ,1.75,BT05,7,O Senhor dos Anéis,semsubtema,10
Bilbo Baggins Young,1.75,BB05,7,O Senhor dos Anéis,semsubtema,10
Bombur the Dwarf,1.75,BT08,7,O Senhor dos Anéis,semsubtema,10
Frodo Baggins v1,1.75,FB03,7,O Senhor dos Anéis,semsubtema,10
Darth Marr ,1.75,DM05,7,Star Wars,semsubtema,10
Imperial Hovertank Pilot,1.75,IH01,7,Star Wars,semsubtema,10
Han Solo Hoth,1.75,HS03,7,Star Wars,semsubtema,10
Naare ,1.75,NA02,7,Star Wars,semsubtema,10
Merry v2,1.75,MV10,7,O Senhor dos Anéis,semsubtema,10
Mandalorian v1 e Grogu,1.75,MV03,7,Star Wars,semsubtema,10
Rey e BB-8,1.95,RE02,7,Star Wars,semsubtema,10
The Armorer,1.75,TA09,7,Star Wars,semsubtema,10
Bo-Katan Kryse e BB-8,1.95,BK04,7,Star Wars,semsubtema,10
Captain Enoch ,1.75,CE02,7,Star Wars,semsubtema,10
Soldado Medieval v4,1.95,SM07,7,Medieval,semsubtema,10
Hermione Granger ,1.75,HG01,7,Harry Potter,semsubtema,10
Ron Weasley ,1.75,RW02,7,Harry Potter,semsubtema,10
Lord Voldemort,1.75,LV02,7,Harry Potter,semsubtema,10
Remus Lupin ,1.75,RL01,7,Harry Potter,semsubtema,10
Kylo Ren v2,1.75,KR08,7,Star Wars,semsubtema,10
Thor v3,1.75,TV03,7,Marvel,Avengers,10
Winston Zeddemore ,1.95,WZ01,7,Ghostbusters,semsubtema,10
Joker TV,1.75,JT05,7,DC Comics,semsubtema,10
Psylocke ,1.75,PS06,7,Marvel,X-Men,10
Stormtrooper Commander ,1.75,SC09,7,Star Wars,semsubtema,10
Luke Skywalker Tatooine v1,1.75,LS08,7,Star Wars,semsubtema,10
Cavaleiro Templário v3,1.75,CT06,7,Tempos Antigos,semsubtema,10
Viking,1.95,VI02,7,Tempos Antigos,semsubtema,10
Vision,1.75,VI03,7,Marvel,semsubtema,10
Chameleon ,1.75,CH01,7,Marvel,semsubtema,10
Franky ,1.75,FR02,7,One Piece ,semsubtema,10
Bardock ,1.75,BA04,7,Dragon Ball,semsubtema,10
Cavalo Creme,1.95,CC04,7,Animais,semsubtema,10
Captain América v1,1.75,CA07,7,Marvel,Avengers,10
Darth Vader v1,1.95,DV02,7,Star Wars,semsubtema,10
Imperial Sentry Droid,1.75,IS03,7,Star Wars,semsubtema,10
Mysterio,1.75,MY01,7,Marvel,semsubtema,10
Fifth Brother,1.75,FB02,7,Star Wars,semsubtema,10
Commander Cody,1.75,CC10,7,Star Wars,semsubtema,10
Moon Knight,1.75,MK03,7,Marvel,semsubtema,10
Syril Karn,1.75,SK02,8,Star Wars,semsubtema,10
Magneto,1.75,MA04,8,Marvel,X-Men,10
Mario,1.75,MA10,8,Jogos,semsubtema,10
Luigi,1.75,LU01,8,Jogos,semsubtema,10
Two-Face The Dark Knight,1.75,TF04,8,DC Comics,semsubtema,10
Jack Sparrow Bandana,1.75,JS02,8,Piratas das Caraíbas,semsubtema,10
Hawkman BD,2.25,XB01,8,DC Comics,semsubtema,10
Cave Troll ,5.5,CT08,8,O Senhor dos Anéis,semsubtema,10
Dumbledore v1,1.75,DV11,8,Harry Potter,semsubtema,10
Star-Lord e Baby Groot,1.75,SL02,8,Marvel,GG,10
Guerreiro Ewok,1.75,GE04,8,Star Wars,semsubtema,10
Chief Chirpa Ewok,1.75,CC07,8,Star Wars,semsubtema,10
Lando Calrissian Solo,1.75,LC02,8,Star Wars,semsubtema,10
Captain América v2,1.75,CA08,8,Marvel,Avengers,10
Frodo Baggins v2,1.75,FB04,8,O Senhor dos Anéis,semsubtema,10
Samwise Gamgee v2,1.75,SG02,8,O Senhor dos Anéis,semsubtema,10
Elf Archer ,1.75,EA01,8,O Senhor dos Anéis,semsubtema,10
Elf Guard,1.75,EG04,8,O Senhor dos Anéis,semsubtema,10
Azog v2,1.75,AV11,8,O Senhor dos Anéis,semsubtema,10
General Grievous Branco,1.75,BC03,8,Star Wars,semsubtema,10
Charlie Chaplin Charlot ,1.95,CC05,8,Filmes e Séries,semsubtema,10
Art the Clown v2,1.75,AT06,8,Filmes e Séries,semsubtema,10
Harry Potter Clássico,1.75,HP01,8,Harry Potter,semsubtema,10
Buzz Lightyear ,1.75,PL01,8,Toy Story,semsubtema,10
Ray Stantz,1.95,RS01,8,Ghostbusters,semsubtema,10
Iceman,1.95,IC02,8,Marvel,X-Men,10
Cavaleiro Templário v2,1.75,CT05,8,Tempos Antigos,semsubtema,10
Imperial Astromech Droid,1.95,IA03,8,Star Wars,semsubtema,10
Drax,1.75,DR03,8,Marvel,GG,10
Ghost Rider v1,1.75,GR01,8,Marvel,semsubtema,10
Trafalgar Law ,1.75,HW03,8,One Piece ,semsubtema,10
Nami,1.75,NA03,8,One Piece ,semsubtema,10
Punk Zombie,1.75,PZ01,8,Jogos,semsubtema,10
Cavillrine,1.75,CA15,9,Marvel,X-Men,10
Guerreiro Hovitos,1.75,GH04,9,Tempos Antigos,semsubtema,10
Sallah Faisel el-Kahir ,1.75,SF01,9,Filmes e Séries,semsubtema,10
Plo Koon v2,2.45,PK02,9,Star Wars,semsubtema,10
Wrestler,1.75,WR03,9,Cidade,semsubtema,10
Terminator Arnold Schwarzenegger,1.75,TA07,9,Filmes e Séries,semsubtema,10
Samwise Gamgee v1,1.75,SG01,9,O Senhor dos Anéis,semsubtema,10
Padmé Amidala,1.75,PA02,9,Star Wars,semsubtema,10
Luke Skywalker Jedi Master,1.75,LS07,9,Star Wars,semsubtema,10
Deadpool v2,1.75,DV06,9,Marvel,X-Men,10
Nazgûl,1.75,NL01,9,O Senhor dos Anéis,semsubtema,10
Pippin,1.75,PI03,9,O Senhor dos Anéis,semsubtema,10
Boromir v2,1.75,BV02,9,O Senhor dos Anéis,semsubtema,10
Savage Opress e Battle Droid B1,1.75,SO02,9,Star Wars,semsubtema,10
Bantha,6.5,BA03,9,Star Wars,semsubtema,10
Stitch,1.75,ST09,9,Disney,semsubtema,10
Hagrid ,1.75,HA02,9,Harry Potter,semsubtema,10
Plastic Man,1.75,PM03,9,DC Comics,semsubtema,10
Moff Gideon,1.75,MG02,9,Star Wars,semsubtema,10
Superman New 52,1.75,SN05,9,DC Comics,semsubtema,10
Son Goku v1,1.75,SG12,9,Dragon Ball,semsubtema,10
Brook ,1.75,HW01,9,One Piece ,semsubtema,10
Cad Bane,1.75,CB01,9,Star Wars,semsubtema,10
Soldado Japonês,1.75,SJ01,9,Militar,WW2,10
Clone Trooper Phase II,1.75,CT10,10,Star Wars,semsubtema,10
Bart Simpson,2.25,BS02,10,Os Simpsons,semsubtema,10
North Vietnamese Soldier com AK-47,2.75,NV03,10,Militar,semsubtema,10
Harley Quinn Suicide Squad,1.75,HQ03,10,DC Comics,semsubtema,10
Aragorn,1.75,AR02,10,O Senhor dos Anéis,semsubtema,10
Yoda Clone Wars,1.75,YC02,10,Star Wars,semsubtema,10
Tokkat Ewok,1.75,TE05,10,Star Wars,semsubtema,10
Jack Torrance ,1.75,JT03,10,Filmes e Séries,semsubtema,10
Eric Draven Brandon Lee,1.75,ED02,10,Filmes e Séries,semsubtema,10
Chewbacca v1,1.75,CV03,10,Star Wars,semsubtema,10
Spider-Man Clássico,1.75,SM11,10,Marvel,Avengers,10
Soldado USA,1.75,SU02,10,Militar,WW2,10
Soldado Soviético Infantaria,1.75,SS07,11,Militar,WW2,10
Hulk Hogan,1.75,PH01,11,Famosos,semsubtema,10
C-3PO v1,1.75,CP03,11,Star Wars,semsubtema,10
Doctor Octopus,1.95,DO03,11,Marvel,semsubtema,10
Obi-Wan Kenobi TV Series,1.75,OW07,11,Star Wars,semsubtema,10
Soldado Britânico,1.75,SB06,11,Militar,WW2,10
Rainha Múmia,1.75,RM01,12,Tempos Antigos,semsubtema,10
Batman Filme Lego,1.95,BF01,12,DC Comics,semsubtema,10
Wicket Warrick Ewok ,1.75,WW03,12,Star Wars,semsubtema,10
Soldado Soviético Ushanka,1.75,SS08,13,Militar,WW2,10
Marty McFly,2.25,MM06,15,Filmes e Séries,semsubtema,10
Supreme Leader Snoke ,1.95,SL04,15,Star Wars,semsubtema,10
Green Goblin BD,1.75,GG04,17,Marvel,semsubtema,10
Boba Fett Bantha,1.75,BF04,19,Star Wars,semsubtema,10
Esqueleto ,1,ES06,19,Diversos,semsubtema,10
Sabretooth ,1.75,SA01,20,Marvel,semsubtema,10
Soldado Alemão v9,1.75,SA06,22,Militar,WW2,10
Soldado União,1.95,SU01,26,Militar,semsubtema,10
Hawkeye,1.75,HA05,5,Marvel,Avengers,10
